skuId,specAttrs,price,discountPrice,canBookCount
5339856361251,橙色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
5339856361271,红色&gt;9格50页900透明竖插卡位,28.00,28.00,99980
5339856361279,橙色&gt;9格50页900透明竖插卡位,28.00,28.00,99980
6058289818306,银色斜纹&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99960
5339856361278,黄色斜纹&gt;9格50页900透明竖插卡位,28.00,28.00,99998
5339856361247,紫色斜纹&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
5339856361239,红色蜂巢纹&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
5339856361261,紫色斜纹&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99959
5339856361222,黄色斜纹&gt;4格50页400透明竖插卡位,18.00,18.00,99999
5339856361264,黄色斜纹&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99960
5339856361253,红色蜂巢纹&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,100000
5339856361242,黄色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
5339856361229,红色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
5339856361217,浅绿色&gt;4格50页400透明竖插卡位,18.00,18.00,99997
5339856361248,蓝色斜纹&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,100000
5339856361231,浅绿色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
5339856361215,红色&gt;4格50页400透明竖插卡位,18.00,18.00,99985
5339856361225,红色蜂巢纹&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
6058289818299,蓝色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
6253542218508,白色&gt;9格50页900透明竖插卡位,28.00,28.00,9960
5339856361277,黑色斜纹&gt;9格50页900透明竖插卡位,28.00,28.00,94740
6253542218506,白色&gt;九宫格50活页900黑色侧插卡位,33.00,33.00,1000
6058289818298,灰色&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
5339856361262,蓝色斜纹&gt;9宫格50活页900黑色竖插卡位,32.00,32.00,99960
5339856361236,黄色斜纹&gt;四宫格50活页400黑色竖插卡位,22.00,22.00,100000
